Actual Value,Predicted Value,Row
70180,103272.9609375,9
101900,105056.890625,11
108165,96821.4296875,21
90760,96903.9609375,29
95720,92132.046875,40
117510,96244.421875,51
95332,105305.375,60
89785,109151.5859375,65
115010,106568.7109375,67
138130,104024.828125,72
103185,106760.1640625,78
88530,109138.2890625,83
86950,102924.8515625,89
19770,117861.140625,93
119342,113168.75,94
90975,79978.140625,99
98840,92558.5,104
132455,92987.2734375,108
128255,108563.9765625,109
87125,89971.2734375,112
100465,99817.6796875,118
101650,119165.875,122
62470,96068.5703125,124
91395,105639.8515625,125
113945,105524.5859375,128
122130,124200.109375,137
111075,126104.125,141
132935,148489.84375,143
135365,117776.53125,146
130410,110845.8203125,148
124280,125060.953125,155
127540,138227.078125,156
127890,110790.7734375,159
146725,100788.1875,160
124630,126585.8984375,166
122435,125954.6171875,175
106825,112130.2578125,188
140900,128396.59375,192
165355,160585.71875,199
137935,145253.671875,202
152295,204936.015625,205
191250,218102.4375,206
205465,324073.9375,214
340780,310353.75,219
339340,289954.84375,226
297255,302256.6875,227
213040,296864.78125,230
376650,315517.8125,234
288610,335535.34375,241
339825,329708.90625,245
367140,350622.71875,248
347720,333546.59375,266
288660,366363.84375,267
383005,322997.125,270
246175,254262.25,271
453300,488598.96875,281
500845,432297.5625,285
395130,361198.28125,288
305015,353335.5,301
340585,368346.53125,310
316775,326410.8125,320
251015,346717.1875,322
319560,352373.71875,324
351290,321990.5,330
413540,346153.3125,339
349703,329861.84375,341
391415,327940.25,344
297155,352368.40625,347
354655,317035.40625,348
368755,351421.28125,352
307140,334484.625,359
354045,330183.03125,361
338000,321049.40625,369
338090,337512.03125,373
380590,332997.125,375
367255,323157.59375,378
336713,320992.75,386
426200,337832.84375,389
301355,308458.65625,393
355665,315497.46875,395
371005,322170.71875,397
336855,349756.8125,403
361115,332597.90625,406
339595,338001.375,410
347430,349621.5625,416
283405,317772.15625,421
350263,334817.8125,441
420390,350406.75,444
380095,334403.90625,445
331975,329874.15625,446
456310,327769.90625,453
286530,340225.65625,463
296935,342922.8125,466
281233,333579.1875,467
288835,309069.28125,470
303143,288491.09375,479
300005,305767.4375,488
248350,302967.71875,491
338813,308561.15625,492
228405,288741.71875,496
281255,288741.71875,498
303540,305699.3125,500
255620,245668.625,511
247340,260664.390625,512
277705,276357.125,516
243980,261923.171875,522
286855,267304.78125,523
255145,268745.625,525
188115,260846.734375,533
194548,254911.953125,538
228760,255667.78125,539
268095,303698.9375,552
357700,335959.71875,556
349585,311249.96875,567
258240,291803.625,571
329720,317615.4375,576
327600,298377.375,582
213505,278583.4375,586
340105,280928.21875,587
297170,285215.875,588
280765,316515.625,590
316785,307777.1875,598
300955,298762.9375,599
318375,261396.921875,603
217115,295916.3125,605
298910,262498.65625,607
343590,312826.84375,612
203010,215702.1875,622
220005,211158.9375,624
206050,210131.484375,630
205395,213923.84375,636
223370,218800.046875,637
183028,210924.828125,644
221215,226448.578125,648
195735,202055.984375,651
247155,213135.5625,660
172195,220953.5625,662
170095,203945.140625,666
217630,199914.375,670
294010,214692.28125,675
247820,193253.46875,678
159255,206028.0625,679
245690,224356.8125,681
53815,168303.578125,690
199820,174429.5,701
215870,228278.15625,703
214940,211916.65625,709
206215,188834.515625,714
243225,210105.984375,716
200050,204429.359375,718
209125,209073.828125,725
195800,213869.640625,736
230925,216248.15625,756
253220,242755.859375,759
198825,234792.953125,764
241533,233625.109375,766
224075,234079.671875,768
243090,245847.953125,775
271615,248395.953125,776
241080,253799.3125,785
238710,247389.09375,790
248820,265910.90625,792
273585,238773.078125,797
243850,237935.453125,799
230240,219235.15625,808
277680,262295.6875,820
294650,276724.28125,826
230530,230961.796875,837
226165,217399.53125,851
208385,233859.453125,857
257360,229689.015625,866
220240,252802.015625,871
253460,224169.015625,872
311810,253734.296875,874
298620,279398.625,876
237700,267455.15625,879
330690,278278.5625,888
289545,303558.40625,890
282105,258704.296875,893
282081,295637.96875,900
325200,315747.40625,904
289885,322804.75,910
491785,443142.15625,932
371015,399111.46875,936
373800,410988.96875,943
530400,415883.125,946
357645,407156.65625,948
453575,492545.625,959
423985,416042.96875,971
420590,425480.96875,972
452930,403696.90625,973
498880,412554.9375,974
482125,436934.15625,978
365410,351893.0,985
212650,366291.46875,986
312950,375229.34375,988
313560,327355.4375,989
436295,358200.78125,993
389365,401998.875,996
361165,409879.8125,1001
246970,194993.296875,1003
